id,label,source,title,create_date,news_date,source_comment_num,topic_word,content,last_time,r_weight
11,sport,Instagram, 为国效力！湖人官方发布库兹马参加美国男篮训练营组图 ,2019-08-07 14:00:23,2019-08-07 11:20:07,5,,"[虎扑8月7日讯 湖人官方Instagram今日连续发布多张球队前锋凯尔-库兹马参加美国男篮训练营的图片。, “（美国国旗表情）KUZ（美国国旗表情）。”湖人官方写道。, 2018-19赛季常规赛，库兹马场均出场33.1分钟，得到18.7分5.5篮板2.5助攻。, , , , , ]",198022.0,0.002946593972743971
12,sport,Instagram, 口水横飞！詹姆斯激情录制今日Taco Tuesday自拍 ,2019-08-07 14:00:24,2019-08-07 11:04:47,3,,"[虎扑8月7日讯 湖人前锋勒布朗-詹姆斯今日通过Instagram Story连续更新了他在家庆祝Taco Tuesday的多条自拍视频。, “大家好，周二快乐！今天发生了许多事，导致我的心情有点不好。我不太清楚今天自己的精神头是怎么了。不过，你们都知道今天是什么日子！今天是Taco Tuesday！”詹姆斯在视频中说道。, 随后，詹姆斯将镜头转向了身边的女儿Zhuri及数位友人与宾客，邀请他们一同喊出“Taco Tuesday”的口号。有趣的是，詹姆斯本人和晚餐宾客全体身着印有詹姆斯大喊头像和“Taco Tuesday”字样的定制版T恤。, 在即将考验妻子Savannah时，詹姆斯说道：“轮到他们中最重要的一个人了，今天是什么日子？”此时Savannah非常平静地回答道：“Taco Tuesday。”, 詹姆斯将镜头转为自拍后继续说道：“我不知道她到底出了什么问题，但她不会让我失落，因为今天可是Taco Tuesday啊！”值得一提的是，詹姆斯在喊出这句口号时情绪过于激动，不慎喷出了清晰可见的口水，引起周围人的惊呼。, 最后，詹姆斯不忘对着女儿Zhuri再次拍摄了一遍Taco Tuesday的问答内容。而詹姆斯妻子随后Savannah也发布了一段Taco Tuesday的餐桌视频。, , , , , , , , , , ]",198942.0,0.0014610559043121624
13,sport,雅虎体育, NCAA新规：大学球员试水选秀签约的经纪人需持学士学位 ,2019-08-07 14:00:26,2019-08-07 11:02:26,2,,"[虎扑8月7日讯 近日NCAA发布最新规定，对那些大学球员“试水NBA选秀”而签约的经纪人做出以下规定：, 1.获得学士学位；, 2.获得至少三年的NBPA球员工会认证；, 3.通过印第安纳波利斯的NCAA办公处的现场考试。, NCAA办公室要求经纪人“同意与NCAA办公室保持合作，便于官方对可能的违规行为进行调查和分析，包括经纪人执照资格外的涉嫌违规内容”。, NCAA办公室解释，此举是为了“保护运动员在试水后，若选择退选，则仍能保证有资格回到NCAA”。, 根据《纽约时报》记者Marc Stein的报道，NCAA委员会不喜欢里奇-保罗去年处理达里厄斯-贝兹利的方式，贝兹利并未进入NCAA，而是与球鞋公司签下100万美元一年的实习合同，在今年符合参选年龄后参加了NBA选秀，并于首轮第23顺位被选中。, NCAA的此项新规剥夺了NBA知名球员经纪人里奇-保罗为大学球员代言的资格（里奇-保罗并不具备学士学位），里奇-保罗的好友和客户勒布朗-詹姆斯将此项规定称为“里奇-保罗规则”，连续发布多条推特表达自己的不满。, 相关阅读：, ]",199083.0,0.0007295969059799082
14,sport,Streamable, 麦康奈尔：所有的TJ在同一支球队了，教练组会为此伤脑筋 ,2019-08-07 14:00:28,2019-08-07 10:54:50,7,,"[虎扑8月7日讯 今夏休赛期签约步行者的TJ-麦康奈尔近日接受Streamable采访，谈到了对球队新赛季的期待等相关话题。, “我在过去的四年一直作为对手和他们比赛，我能看到他们打球的方式、内特（麦克米兰）教导的方式，以及他们所拥有的球员，综合所有因素，当然这里的球迷基础也非常好。, “我认为这是一支很好的球队，年轻、有天赋。我认为有了现有的这些成员我们可以一起做一些很特别的事。维克托（奥拉迪波）、道格（麦克德莫特）、迈尔斯（特纳），更衣室所有的球员和他们之间形成的友好的气氛，我很期待成为他们中的一份子。, “充分发挥我的能力，我不会试图成为假装成不真实的样子，会努力在场上和场下都做个好队友，努力让球和人之间运行流畅，努力做到无私，并且持续不断提高。我认为我可以为球队带来很多东西，不管是球场上还是更衣室里，并在每个登场打球的夜晚都竭尽全力。”, 谈及球场之外的生活时，麦康奈尔表示：“我是那种比较冷静的人，我业余的时间基本上都是和我妻子待在一起。除此之外就是收集红酒，我很喜欢红酒。”, 当被问及与TJ-沃伦、TJ-利夫同队打球的感想时，麦康奈尔表示：“我认为这很惊人，NBA里所有的TJ在同一支球队了。但教练组应该比较伤脑筋，我们可能也会遭遇一些麻烦，如果他们喊了一个人的名字，三个人可能都会回头，我们得想点办法解决这个问题。”]",199539.0,0.004359590798226239
15,sport,Twitter, 波蒂斯公布个人2K20初始能力值：78 ,2019-08-07 14:00:30,2019-08-07 10:39:52,1,,"[虎扑8月7日讯 纽约尼克斯队前锋博比-波蒂斯今天在个人推特公布了自己在NBA2K20当中的初始能力值：78。, “感谢@NBA2K让我第一个知道（能力值）！需要让我的能力值得到提升@Ronnie2K（2K全球社区营销总监）。”波蒂斯写道。, 2018-19赛季常规赛，波蒂斯场均出场26.0分钟，得到14.2分8.1篮板。]",200437.0,0.0
16,sport,Instagram, 卡佩拉谈瑞士欧锦赛资格赛首胜：这是一个不错的开始 ,2019-08-07 14:00:31,2019-08-07 10:30:07,5,,"[虎扑8月7日讯 休斯顿火箭队中锋克林特-卡佩拉今天在个人Instagram上传了一组自己在瑞士国家队的照片（见新闻配图）。, “瑞士将我视为这项运动（篮球）的大使，我会尽我所能地帮助这项运动在这里发展。这是一个不错的开始，第一场比赛，第一次在这个国家球票销售一空。这周六的胜利多么美好啊，继续前进。”卡佩拉写道。, 在此前已经结束的一场欧锦赛预选赛资格赛中，瑞士以77-71的比分击败葡萄牙。卡佩拉出场26分钟，9投6中得到16分11篮板。, , ]",201022.0,0.0028679133892731148
17,sport,Twitter, 回馈社区！库里与东奥克兰音乐人为奥克兰新球场揭幕 ,2019-08-07 14:00:33,2019-08-07 10:29:09,2,,"[虎扑8月7日讯 根据记者Nick DePaula的报道，今日，勇士后卫斯蒂芬-库里和东奥克兰音乐人Nimsins为奥克兰康科迪亚公园的新球场揭幕。, 库里还送了Nimsins一双画家David E. Zambrano手绘的定制库里6，向他对社区的贡献致敬。, 2018-19赛季常规赛，斯蒂芬-库里场均上场33.8分钟，得到27.3分5.3篮板5.2助攻1.33抢断。, ,  , ,  , ,  , ]",201080.0,0.0007166061377348534
18,sport,Instagram, 敬请期待！詹姆斯晒出餐桌照预告Taco视频即将发布 ,2019-08-07 14:00:35,2019-08-07 10:15:19,3,,"[虎扑8月7日讯 湖人前锋勒布朗-詹姆斯今日更新Instagram Story晒出自己的餐桌照。, “哦，是的，餐桌正在被布置中。你们早就知道今天是什么日子......即将发布。”詹姆斯配文道。, 当地时间今日是Taco Tuesday的传统饮食习俗，而詹姆斯曾多次发布自己激情呐喊庆祝Taco Tuesday的社媒动态。, 2018-19赛季常规赛，詹姆斯场均出场35.2分钟，得到27.4分8.5篮板8.3助攻。, 相关阅读：, , ]",201910.0,0.0014226248980572173
19,sport,纽约时报, 戈贝尔建议米切尔：若在比赛中碰面，传球或调高抛投弧度 ,2019-08-07 14:00:37,2019-08-07 10:10:06,5,,"[虎扑8月7日讯 法国男篮球员鲁迪-戈贝尔在近日接受媒体采访时谈到了法国队在本届世界杯的前景。, 在FIBA官方今年二月份公布的世界排名中，法国男篮排名第三，仅次于美国男篮和西班牙男篮。如果法国男篮想要在本届世界杯夺冠，将不得不面对强大的美国男篮，戈贝尔也需要面对自己在爵士的队友多诺万-米切尔。, 戈贝尔表示自己非常期待与米切尔的对决，并对后者提出了一些建议。, “选择传球，或者将抛投弧线调得非常高。”戈贝尔说道。, 谈到多名球员选择退出美国男篮，戈贝尔表示：“你必须尊重每个人的选择，无论参赛或者退出。”, “但我对此有不同的看法，”戈贝尔说道，“我去那里是代表着我的国家，这与在NBA中效力的感受不同，但每个人的情况不同，所以你必须尊重每个人的选择。”, 谈到本届世界杯的目标，戈贝尔说：“我们的目标就是赢得一切，我们知道本届世界杯有很多出色的球队，但我们认为我们有机会。”, 谈到在爵士效力的前景，戈贝尔说：“我为自己所处的地方感到自豪，通过这项运动我收获了很多感情，我不会说它比金钱更重要，因为显然你需要钱，但我认为那些记忆和建立的自豪感真的比金钱更重要。”]",202223.0,0.002837327743839374
20,sport,Instagram, 精神抖擞！美国男篮官方发布全队大合照 ,2019-08-07 14:00:38,2019-08-07 10:09:17,4,,"[虎扑8月7日讯 今天美国男篮官方在Instagram上发布了美国队的大合影。, 第一排球员从左到右为： 克里斯-米德尔顿、凯尔-库兹马、迈尔斯-特纳、布鲁克-洛佩斯、巴姆-阿德巴约、梅森-普拉姆利、杰森-塔特姆, 第二排球员从左到右为： 肯巴-沃克、多诺万-米切尔、马库斯-斯马特、哈里森-巴恩斯、赛迪斯-杨、达龙-福克斯、凯尔-洛瑞, 第三排球员从左到右为： 乔-哈里斯、杰伦-布朗、PJ-塔克, 随后美国队官方发布了一组选拔队成员加入训练的照片，组图中出现的选拔队成员有特雷-杨、帕特-康诺顿、德里克-怀特、米卡尔-布里奇斯等人。, , , , , , , , , , , ]",202272.0,0.0021270679926454874
